period,variant,start,end,candles,initial_balance,final_balance,total_return_percent,annualized_return_percent,maximum_drawdown_percent,profit_factor,win_rate_percent,trades,average_trade,exposure_percent,total_fees,blocked_entries,blocked_by_atr,blocked_by_adx,waiting_entries,pullback_confirmed,timed_out_entries,cancelled_entries,pullback_rate_percent,average_wait_bars,average_entry_price_improvement_percent
wf_2,adx,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,4416,1000.0,1250.376109907162,25.037610990716193,55.83703379691445,16.61870395599611,1.6876469902060098,37.5,24,10.432337912798411,35.402038505096264,54.853056015425935,15,0,15,0,0,0,0,0.0,0.0,0.0
wf_2,atr_adx,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,4416,1000.0,1250.376109907162,25.037610990716193,55.83703379691445,16.61870395599611,1.6876469902060098,37.5,24,10.432337912798411,35.402038505096264,54.853056015425935,15,0,15,0,0,0,0,0.0,0.0,0.0
wf_2,pullback,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,4416,1000.0,907.1540620898515,-9.284593791014844,-17.590499537302794,11.73854081533884,0.1544267576387826,27.27272727272727,11,-8.440539810013496,8.267270668176671,21.074444309376787,0,0,0,39,11,23,5,28.205128205128204,2.8181818181818183,0.6598005655069896
wf_2,atr_pullback,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,4416,1000.0,907.1540620898515,-9.284593791014844,-17.590499537302794,11.73854081533884,0.1544267576387826,27.27272727272727,11,-8.440539810013496,8.267270668176671,21.074444309376787,0,0,0,39,11,23,5,28.205128205128204,2.8181818181818183,0.6598005655069896
wf_2,adx_pullback,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,4416,1000.0,928.6063902863261,-7.1393609713673865,-13.676118327462472,9.26898208093619,0.0,0.0,4,-17.848402428418467,1.9252548131370328,7.754649263139658,7,0,7,39,11,23,5,28.205128205128204,2.8181818181818183,0.2360973031621903
wf_2,atr_adx_pullback,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,4416,1000.0,928.6063902863261,-7.1393609713673865,-13.676118327462472,9.26898208093619,0.0,0.0,4,-17.848402428418467,1.9252548131370328,7.754649263139658,7,0,7,39,11,23,5,28.205128205128204,2.8181818181818183,0.2360973031621903
wf_3,baseline,2025-01-01T00:00:00+00:00,2025-06-30T23:00:00+00:00,4344,1000.0,575.1687057064448,-42.483129429355515,-67.25267923724572,58.210365303704826,0.41224990013808255,28.57142857142857,49,-8.670026414154187,48.791158185586,65.6238289087162,0,0,0,0,0,0,0,0.0,0.0,0.0
wf_3,atr,2025-01-01T00:00:00+00:00,2025-06-30T23:00:00+00:00,4344,1000.0,664.6514073712233,-33.53485926287767,-56.15426940390572,51.708882561148904,0.5022607796563013,29.78723404255319,47,-7.135076438910143,47.93921252590375,68.07692664666297,2,2,0,0,0,0,0,0.0,0.0,0.0
wf_3,adx,2025-01-01T00:00:00+00:00,2025-06-30T23:00:00+00:00,4344,1000.0,907.2480502640902,-9.275194973590976,-17.837218352627993,33.9629093881806,0.7827116132363464,18.181818181818183,22,-4.215997715268625,21.64402486760304,37.62146332877738,27,0,27,0,0,0,0,0.0,0.0,0.0
wf_3,atr_adx,2025-01-01T00:00:00+00:00,2025-06-30T23:00:00+00:00,4344,1000.0,1048.394475325622,4.83944753256219,10.008608497637272,23.689093689585764,1.1436556732387209,20.0,20,2.419723766281095,20.792079207920793,37.859463881879606,29,2,27,0,0,0,0,0.0,0.0,0.0
